"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000258676.4","ENSG00000258676.4","RP11-386M24.3",-0.804188612355905,-0.0819862340082773,-3.77619244669692,0.000520847969309612,0.0257764039143091,-0.172386187360347,-3.46979900714841,"DOWN"
"ENSG00000227128.4","ENSG00000227128.4","LBX1-AS1",-0.524130298294277,3.29682511399121,-3.76033639789618,0.000523980346844316,0.0257934899993124,-0.206119676079227,-3.46818811949629,"DOWN"
"ENSG00000167654.17","ENSG00000167654.17","ATCAY",-0.550115927947677,1.70080386120823,-3.75951971981245,0.000527483103945186,0.0258970418326829,-0.217033839744674,-3.46639735170857,"DOWN"
"ENSG00000161940.10","ENSG00000161940.10","BCL6B",-0.687500812023108,1.35748728524398,-3.76543695074704,0.000531400777188143,0.0259346160666214,-0.183625181374275,-3.46440754155664,"DOWN"
"ENSG00000172183.14","ENSG00000172183.14","ISG20",-0.834135086440054,-0.837762342236064,-3.76901343884404,0.000536702821442551,0.0260415090398362,-0.189342961619549,-3.4617362588998,"DOWN"
"ENSG00000206344.7","ENSG00000206344.7","HCG27",-0.671270761963847,1.21511211806397,-3.77510734790764,0.000540316471833117,0.0260435353571853,-0.175081632703216,-3.45992967908892,"DOWN"
"ENSG00000108821.13","ENSG00000108821.13","COL1A1",-0.738136210097006,4.59005934399202,-3.74590586862528,0.000545112806633424,0.0261371534310771,-0.25035606073758,-3.45754914542995,"DOWN"
"ENSG00000005844.17","ENSG00000005844.17","ITGAL",-0.700680154366708,0.792329220669212,-3.75025678653913,0.000546590336669483,0.0261371534310771,-0.240508579364595,-3.45681974340811,"DOWN"
"ENSG00000080854.14","ENSG00000080854.14","IGSF9B",-0.547196400332157,2.11456760022098,-3.73821784286841,0.000558036447345385,0.0265519192902718,-0.265724991149724,-3.45123065123369,"DOWN"
"ENSG00000244921.2","ENSG00000244921.2","MTCYBP18",-0.726762646846194,0.0480351318421581,-3.73529070038536,0.000562779233582546,0.026575587798874,-0.22144885472244,-3.44894600039436,"DOWN"
"ENSG00000244187.7","ENSG00000244187.7","TMEM141",-1.2652715572357,1.08272145595866,-3.73051696521876,0.000563058482938984,0.026575587798874,-0.196655274649308,-3.44881204264441,"DOWN"
"ENSG00000197122.11","ENSG00000197122.11","SRC",-1.02334043497936,-0.0623630000566568,-3.75473681511042,0.000566649864789391,0.026575587798874,-0.21984059391455,-3.44709472588231,"DOWN"
"ENSG00000258177.1","ENSG00000258177.1","RP11-394J1.2",-1.07837830250055,-0.830175508141746,-3.72632344660082,0.000573391130628274,0.026575587798874,-0.251946483480499,-3.44389839854641,"DOWN"
"ENSG00000181588.16","ENSG00000181588.16","MEX3D",-0.898097966310644,0.145079531964958,-3.72041449309412,0.000573584845872391,0.026575587798874,-0.309594854057858,-3.44380706792169,"DOWN"
"ENSG00000011028.13","ENSG00000011028.13","MRC2",-0.678751003657487,4.16609830912118,-3.7172871256736,0.000579540551860213,0.026575587798874,-0.309302564680465,-3.44101306355322,"DOWN"
"ENSG00000070444.14","ENSG00000070444.14","MNT",-0.643635602324723,2.81424539529224,-3.71839176412541,0.000585814459016725,0.026575587798874,-0.309878282285399,-3.43809854797842,"DOWN"
"ENSG00000110063.8","ENSG00000110063.8","DCPS",-0.500345046005544,1.91184960025397,-3.66178170465396,0.000595278766602814,0.0267427541044939,-0.355445580895851,-3.43375646523736,"DOWN"
"ENSG00000274021.1","ENSG00000274021.1","RP11-823E8.3",-1.04986697350554,0.0527267462298068,-3.70584320180771,0.000608663516584188,0.027016101550037,-0.331764090119063,-3.4277241835469,"DOWN"
"ENSG00000213213.13","ENSG00000213213.13","CCDC183",-0.835472687477779,-0.120162471796962,-3.69998523811314,0.000611299293165415,0.027016101550037,-0.315032418725768,-3.42655084975402,"DOWN"
"ENSG00000260051.1","ENSG00000260051.1","LA16c-390E6.4",-1.3335587328622,-0.98586401251739,-3.64952585404636,0.000618204060774654,0.0271789524011356,-0.385283495776911,-3.42349932171969,"DOWN"
"ENSG00000267396.1","ENSG00000267396.1","RP11-845C23.3",-0.676676830284328,0.780028384940947,-3.70551879746042,0.000636104339281479,0.0275387810556593,-0.350779045128682,-3.41573364255668,"DOWN"
"ENSG00000159307.18","ENSG00000159307.18","SCUBE1",-1.12607337896573,-1.3490827018697,-3.70188091169719,0.000647474911298702,0.027844455348493,-0.370400645036891,-3.4109056543694,"DOWN"
"ENSG00000117308.14","ENSG00000117308.14","GALE",-1.26312185891149,-0.616710825885445,-3.6270547646712,0.00066245153753099,0.0281869322026692,-0.445842499376857,-3.40466546333553,"DOWN"
"ENSG00000127666.9","ENSG00000127666.9","TICAM1",-0.720179917766991,1.8109804754101,-3.68093880558583,0.000669474503105437,0.0284204210504095,-0.409727348468702,-3.40178431824036,"DOWN"
"ENSG00000176531.10","ENSG00000176531.10","PHLDB3",-1.27979593926822,-0.129444711489367,-3.66828570696419,0.000674493845886805,0.0285027547797235,-0.389792016182101,-3.3997423200784,"DOWN"
"ENSG00000177947.13","ENSG00000177947.13","ODF3",-1.31949369435269,-1.0267291390789,-3.66741741081396,0.000681079570235433,0.0287154937710424,-0.4259651719119,-3.39708439976528,"DOWN"
"ENSG00000270175.1","ENSG00000270175.1","RP11-793H13.11",-1.0616005926632,-0.967598195931469,-3.66364971,0.000692395235317805,0.0291262350238574,-0.442103630220865,-3.39257282682209,"DOWN"
"ENSG00000071246.10","ENSG00000071246.10","VASH1",-0.527282200847655,2.97432586394459,-3.65661563960279,0.000704485740383733,0.0293018574578933,-0.456327040473296,-3.38782742969695,"DOWN"
"ENSG00000144031.11","ENSG00000144031.11","ANKRD53",-1.23387666412631,-0.82451127195124,-3.60202841443756,0.000715295729347917,0.0295373417650688,-0.516244937468064,-3.38364827304107,"DOWN"
"ENSG00000023892.10","ENSG00000023892.10","DEF6",-0.978726781051446,-0.590438669696955,-3.65010902854058,0.000721401870537427,0.0295918144266978,-0.497517825487931,-3.38131349417351,"DOWN"
"ENSG00000162430.16","ENSG00000162430.16","SELENON",-0.513701438574267,4.32749940992303,-3.64060896550117,0.000723968230450902,0.0295918144266978,-0.456802416099535,-3.38033768184076,"DOWN"
"ENSG00000149792.8","ENSG00000149792.8","MRPL49",-0.506517921546567,3.0163977734598,-3.59800370542694,0.000724161779350068,0.0295918144266978,-0.53174638328471,-3.38026421872029,"DOWN"
"ENSG00000272195.1","ENSG00000272195.1","RP11-156E8.1",-0.620652484011203,1.93649109051861,-3.64077959873264,0.000740328891197379,0.029883530453677,-0.510435537669521,-3.3741913392784,"DOWN"
"ENSG00000266079.4","ENSG00000266079.4","SNORA59B",-1.17553285268531,-0.551413234899726,-3.63610397719392,0.000742277603484491,0.029883530453677,-0.453534141438312,-3.37346767853758,"DOWN"
"ENSG00000006016.10","ENSG00000006016.10","CRLF1",-0.506011978499835,2.0130878166622,-3.63588858950379,0.000751798043752398,0.0299161469847857,-0.543458554002389,-3.3699574028662,"DOWN"
"ENSG00000277258.4","ENSG00000277258.4","PCGF2",-0.623218842249085,1.77256926090704,-3.6376629967562,0.000754792378345115,0.0299161469847857,-0.507641557131703,-3.36886189475856,"DOWN"
"ENSG00000063015.19","ENSG00000063015.19","SEZ6",-1.08800067739775,-0.964217607374055,-3.6365829118263,0.000758045974167404,0.0299161469847857,-0.517461679533894,-3.36767609876168,"DOWN"
"ENSG00000204536.13","ENSG00000204536.13","CCHCR1",-0.558975596259055,2.6221457093243,-3.63408316546692,0.00076175818760347,0.0299986857326652,-0.540355945063536,-3.36632891468571,"DOWN"
"ENSG00000271581.1","ENSG00000271581.1","XXbac-BPG248L24.12",-0.624426547431867,3.16691269696401,-3.63325812696857,0.000764241739997876,0.0300325910098104,-0.554397032142514,-3.36543101807211,"DOWN"
"ENSG00000260477.7","ENSG00000260477.7","LINC01584",-0.882776946242346,0.0424780414601171,-3.62588730543552,0.000805252052386503,0.0309861182979412,-0.554406474623501,-3.35098313888949,"DOWN"
"ENSG00000185133.13","ENSG00000185133.13","INPP5J",-1.01979438970908,0.259837527747217,-3.62681645629609,0.000810702865285555,0.0310558535179088,-0.542892930892044,-3.34911449518142,"DOWN"
"ENSG00000280080.2","ENSG00000280080.2","TBC1D22A-AS1",-0.523459920960191,-0.225894563339733,-3.60194157391876,0.000814233885063907,0.0310558535179088,-0.59092856911389,-3.34791020581506,"DOWN"
"ENSG00000167733.13","ENSG00000167733.13","HSD11B1L",-1.16495600700721,-0.0385937264849816,-3.62233615909233,0.000825036814583417,0.0312922262318125,-0.544517486494324,-3.34425561850369,"DOWN"
"ENSG00000239556.3","ENSG00000239556.3","AC004951.5",-0.5917893351048,0.871929783909127,-3.55263483080682,0.000831654153126035,0.0314516865164638,-0.650876571635533,-3.34203886445567,"DOWN"
"ENSG00000271049.1","ENSG00000271049.1","CTD-2553L13.7",-0.964479574375745,-0.729759777020851,-3.61735412918274,0.000832639601981049,0.0314516865164638,-0.579962537422174,-3.34171014789453,"DOWN"
"ENSG00000070526.14","ENSG00000070526.14","ST6GALNAC1",-1.00329989816931,-0.575274411141953,-3.58911227950737,0.000861782030122834,0.0319014471910871,-0.594729066978856,-3.33214867729611,"DOWN"
"ENSG00000272896.1","ENSG00000272896.1","RP11-216L13.17",-0.701835460420919,0.203048471802541,-3.58375610603962,0.000879674186240387,0.0322988409598041,-0.641409113436834,-3.32642585793638,"DOWN"
"ENSG00000174276.6","ENSG00000174276.6","ZNHIT2",-0.880474231898275,-0.168226555757349,-3.58603067238653,0.000900872176117752,0.0322988409598041,-0.660767501184013,-3.3197837015961,"DOWN"
"ENSG00000196811.11","ENSG00000196811.11","CHRNG",-0.509566040607106,2.85498301402256,-3.58049196763089,0.000902520337098399,0.0322988409598041,-0.692521456236778,-3.3192733569973,"DOWN"
"ENSG00000182218.9","ENSG00000182218.9","HHIPL1",-0.986824795676021,-0.388183793012382,-3.57198717791752,0.000916870585997489,0.0324827187101651,-0.683472006871597,-3.31486601880885,"DOWN"
