"","ENSEMBL","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","Category"
"ENSG00000155324.9","ENSG00000155324.9","GRAMD3",0.463582288277454,2.18134257828908,4.42828494684296,6.84923373762255e-05,0.0118042092893554,1.62278733472756,3.98146316241493,"p-value"
"ENSG00000225830.12","ENSG00000225830.12","ERCC6",0.289989342926861,4.39323121443646,4.41749080024511,6.91107676200351e-05,0.0118042092893554,1.60256433264156,3.9793265236428,"p-value"
"ENSG00000128000.15","ENSG00000128000.15","ZNF780B",0.362984408387319,4.16156278170753,4.41906174713873,6.96948693777962e-05,0.0118042092893554,1.60088792511911,3.97732503438534,"p-value"
"ENSG00000015475.18","ENSG00000015475.18","BID",0.331259893550135,2.03414148471134,4.4183408391068,7.01530618525633e-05,0.0118042092893554,1.63271405517125,3.97576606353454,"p-value"
"ENSG00000083457.11","ENSG00000083457.11","ITGAE",0.392956049099393,1.97430618185783,4.39770181562955,7.14279667570108e-05,0.0119104525829325,1.59046655645532,3.97147843740186,"p-value"
"ENSG00000272657.1","ENSG00000272657.1","AP000320.7",-0.385525572028855,1.83645166715372,-4.41463679517589,7.34643769992327e-05,0.0120332049015823,1.5844769862162,-3.96477770222404,"p-value"
"ENSG00000103047.7","ENSG00000103047.7","TANGO6",0.283336599914703,3.51213759005963,4.38629066596548,7.77060743591364e-05,0.0126158706680688,1.50307606566457,3.95136693482872,"p-value"
"ENSG00000112562.18","ENSG00000112562.18","SMOC2",-0.241369347303777,4.97657924029965,-4.38226313384485,7.95078196219166e-05,0.0126158706680688,1.48898767566946,-3.94587881974247,"p-value"
"ENSG00000204291.10","ENSG00000204291.10","COL15A1",-0.382659002735092,5.6334927999274,-4.36948336161996,8.0950923089597e-05,0.0126882908666567,1.45788314022212,-3.94156727384432,"p-value"
"ENSG00000035681.7","ENSG00000035681.7","NSMAF",0.298670827630225,3.7984049215894,4.36057556140836,8.15768876293777e-05,0.0126882908666567,1.62316476485886,3.93971963620437,"p-value"
"ENSG00000140743.7","ENSG00000140743.7","CDR2",0.295434023516882,2.25472586354786,4.35892138384534,8.54563833254979e-05,0.0130720016443937,1.42684171189786,3.92855900839026,"p-value"
"ENSG00000246067.7","ENSG00000246067.7","RAB30-AS1",0.333672434563303,2.65052714050191,4.35406439219264,8.66237495161677e-05,0.0130912463976712,1.42203684550617,3.92529434609368,"p-value"
"ENSG00000134186.11","ENSG00000134186.11","PRPF38B",0.321815166189463,3.99226643561332,4.35109213420853,8.69967749156385e-05,0.0130912463976712,1.42566041861066,3.92425990176592,"p-value"
"ENSG00000157240.3","ENSG00000157240.3","FZD1",-0.424787080360451,2.28823895280397,-4.33900524257825,9.30458630080404e-05,0.0136659444713303,1.37217491569658,-3.90804530031261,"p-value"
